License Plate Number,Detection Time
5856' -,2024-01-20 06:36:04
SN66,2024-01-20 06:36:05
XHZ,2024-01-20 06:36:05
0,2024-01-20 06:36:06
SN66 XMZ,2024-01-20 06:36:06
SN66,2024-01-20 06:36:07
@,2024-01-20 06:36:07
XHZ,2024-01-20 06:36:07
250,2024-01-20 06:36:08
SN66,2024-01-20 06:36:08
XHZ,2024-01-20 06:36:08
B10,2024-01-20 06:36:09
SN66,2024-01-20 06:36:09
XIZ,2024-01-20 06:36:09
3,2024-01-20 06:36:15
5,2024-01-20 06:36:17
SN66 XMZ,2024-01-20 06:36:22
SNGG XMZ,2024-01-20 06:36:24
00,2024-01-20 06:36:25
SN66 XMZ,2024-01-20 06:36:25
D,2024-01-20 06:36:26
SN66 XMZ,2024-01-20 06:36:26
SNUL /,2024-01-20 06:36:27
